,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
64,2014-11-20,432.4841441024853,-1350.8087035474518,1303.1501882263778,432.4841441024853,432.4841441024853,-458.0583869119479,-458.0583869119479,-458.0583869119479,-14.454500398847504,-14.454500398847504,-14.454500398847504,-443.6038865131004,-443.6038865131004,-443.6038865131004,0.0,0.0,0.0,-25.57424280946259
65,2014-11-21,431.9269805396833,-1239.4802192483814,1300.800023535758,431.9269805396833,431.9269805396833,-450.58088858997826,-450.58088858997826,-450.58088858997826,-2.5839103911281276,-2.5839103911281276,-2.5839103911281276,-447.9969781988502,-447.9969781988502,-447.9969781988502,0.0,0.0,0.0,-18.653908050294945
66,2014-11-22,431.3698169768814,-1405.6222884393296,1353.048590455166,431.3698169768814,431.3698169768814,-436.14641842777604,-436.14641842777604,-436.14641842777604,9.118442295422629,9.118442295422629,9.118442295422629,-445.2648607231987,-445.2648607231987,-445.2648607231987,0.0,0.0,0.0,-4.7766014508946455
67,2014-11-23,430.8126534140794,-1354.3387397694291,1313.175503027375,430.8126534140794,430.8126534140794,-443.4168930587255,-443.4168930587255,-443.4168930587255,-8.156843271900266,-8.156843271900266,-8.156843271900266,-435.2600497868253,-435.2600497868253,-435.2600497868253,0.0,0.0,0.0,-12.6042396446461
68,2014-11-24,430.25548985127745,-1285.1627045964221,1355.4073107998192,430.25548985127745,430.25548985127745,-404.944909720129,-404.944909720129,-404.944909720129,13.041042655896842,13.041042655896842,13.041042655896842,-417.9859523760258,-417.9859523760258,-417.9859523760258,0.0,0.0,0.0,25.31058013114847
69,2014-11-25,429.69832628847547,-1236.3771179761777,1299.5203425558072,429.69832628847547,429.69832628847547,-393.7699104493227,-393.7699104493227,-393.7699104493227,-0.17260871521804236,-0.17260871521804236,-0.17260871521804236,-393.5973017341047,-393.5973017341047,-393.5973017341047,0.0,0.0,0.0,35.92841583915276
70,2014-11-26,429.1411627256735,-1213.6632955798884,1373.2200547899365,429.14116272567344,429.14116272567344,-359.18864552246254,-359.18864552246254,-359.18864552246254,3.2083778258450604,3.2083778258450604,3.2083778258450604,-362.3970233483076,-362.3970233483076,-362.3970233483076,0.0,0.0,0.0,69.95251720321096
71,2014-11-27,428.5839991628715,-1259.600296231476,1337.4102587353232,428.5839991628715,428.5839991628715,-339.2841022588429,-339.2841022588429,-339.2841022588429,-14.454500398831378,-14.454500398831378,-14.454500398831378,-324.82960186001145,-324.82960186001145,-324.82960186001145,0.0,0.0,0.0,89.29989690402863
72,2014-11-28,428.02683635215413,-1160.7114527598246,1466.3204015156607,428.02683635215413,428.02683635215413,-284.0550182409699,-284.0550182409699,-284.0550182409699,-2.5839103910676493,-2.5839103910676493,-2.5839103910676493,-281.47110784990224,-281.47110784990224,-281.47110784990224,0.0,0.0,0.0,143.97181811118423
73,2014-11-29,427.46967354143675,-1096.773287018354,1459.2161963530125,427.46967354143675,427.46967354143675,-223.89768643372014,-223.89768643372014,-223.89768643372014,9.118442295381739,9.118442295381739,9.118442295381739,-233.0161287291019,-233.0161287291019,-233.0161287291019,0.0,0.0,0.0,203.5719871077166
